tile,feature_set,accuracy,I_raw,I_smooth,std_is,sacp_is,geocp_is,bw,std_cov,sacp_cov,geocp_cov,geocp_vs_std,geocp_vs_sacp
polk_iowa,sentinel2,0.8039031818321777,0.10505832851840723,0.4240398645301161,3.469787915166066,3.3484393757503,3.293917567026811,1000,0.9034613845538215,0.9003601440576231,0.9036614645858343,5.068619536385645,1.6282752233276547
lancaster_pa,sentinel2,0.778213196833655,0.13433174066048775,0.45571482903184607,3.5910773231969593,3.438631589476843,3.453035910773232,1000,0.902070621186356,0.8996699009702911,0.8987696308892668,3.844011142061291,-0.4188969048173143
hartford_ct,sentinel2,0.7846853549791057,0.11937796501837558,0.4303031765343906,3.7531012404961985,3.532513005202081,3.537014805922369,300,0.894157663065226,0.8960584233693477,0.8958583433373349,5.7575434481288,-0.12743904165840808
everglades_fl,sentinel2,0.9437250522049232,0.06804057843749892,0.5075415976886423,3.071828731492597,2.9762905162064826,2.900660264105642,1000,0.8976590636254502,0.8995598239295718,0.9035614245698279,5.572200872793602,2.5410910557628372
lubbock_tx,sentinel2,0.7673657535089535,0.16949751813629202,0.46228301981088993,3.6866059817945382,3.5584675402620785,3.4498349504851453,300,0.896368910673202,0.8962688806641993,0.9036711013303991,6.422466422466426,3.0527913644796776
sacramento_ca,sentinel2,0.8824213876939085,0.11457602506414175,0.5426204554268639,3.253201280512205,3.1746698679471788,3.2615046018407363,100,0.9015606242496998,0.8968587434973989,0.8933573429371748,-0.25523540084258733,-2.7352366546921325
phoenix_az,sentinel2,0.7901423944777702,0.15173173980524077,0.42272111914755467,3.5257051410282054,3.4131826365273055,3.3980796159231845,1000,0.9004800960192039,0.9001800360072014,0.9014802960592119,3.619858156028366,0.44249084249084597
yellowstone_wy,sentinel2,0.8410607696481817,0.1345148266698635,0.5355022267340724,3.3701740348069613,3.187037407481496,3.191738347669534,1000,0.8997799559911982,0.9023804760952191,0.9021804360872174,5.294554088143636,-0.1475018830027676
seattle_wa,sentinel2,0.8720404504454031,0.057535756243014734,0.4073274073276527,3.330699209762929,3.1940582174652397,3.120136040812244,300,0.8938681604481344,0.8959687906371911,0.9001700510153046,6.321890861038527,2.314365350286553
mississippi_la,sentinel2,0.9668516477676399,0.019642189470554974,0.478744226649093,2.895558223289316,2.9529811924769906,2.906062424969988,1000,0.9053621448579432,0.9000600240096038,0.9025610244097639,-0.36276948590381297,1.5888610339453837
