tile,radius,n_neighbors,is_std_base,is_sacp,is_geocp,cov_sacp,cov_geocp,cv_bw,sd_q,sacp_vs_std_pct,geocp_vs_std_pct,geocp_vs_sacp_pct
polk_iowa,0,0,3.2801400700350176,3.2651325662831416,3.2736368184092046,0.904952476238119,0.9044522261130565,50,0.0005198539791007431,0.4575263077626977,0.1982614000305046,-0.2604565650375349
polk_iowa,1,8,3.2801400700350176,2.939469734867434,2.946473236618309,0.9184592296148074,0.9179589794897449,50,0.002621264196807857,10.385847186213205,10.17233490925729,-0.23825731790332624
polk_iowa,2,24,3.2801400700350176,2.924462231115558,2.9619809904952477,0.9149574787393697,0.9129564782391195,50,0.002529070272849135,10.843373493975903,9.699557724569164,-1.2829284981183677
polk_iowa,3,48,3.2801400700350176,2.989994997498749,2.982991495747874,0.912456228114057,0.9129564782391195,50,0.0037156546174467826,8.845508616745471,9.059020893701389,0.23423121967541327
polk_iowa,5,120,3.2801400700350176,3.1135567783891944,3.0485242621310658,0.9074537268634317,0.9114557278639319,20,0.01721087372979569,5.078542016165938,7.061156016470943,2.0886889460154117
polk_iowa,10,440,3.2801400700350176,3.154577288644322,3.1645822911455728,0.9084542271135568,0.9084542271135568,20,0.01998842431816613,3.827970108281235,3.522952569772766,-0.31715826197273006
lancaster_pa,0,0,3.18018018018018,3.240740740740741,3.2997997997998,0.8963963963963963,0.8933933933933934,20,0.013213753003638423,-1.9043122442555949,-3.7614101353478167,-1.822393822393819
lancaster_pa,1,8,3.18018018018018,3.360860860860861,3.2317317317317316,0.8908908908908909,0.8988988988988988,10,0.04689056023375941,-5.681460497324526,-1.6210261252754137,3.8421444527178052
lancaster_pa,2,24,3.18018018018018,3.214214214214214,3.2572572572572573,0.8923923923923924,0.8898898898898899,50,0.0067039538032477525,-1.0701920050361946,-2.42367012905257,-1.3391466832762458
lancaster_pa,3,48,3.18018018018018,3.5015015015015014,3.2372372372372373,0.8768768768768769,0.8923923923923924,10,0.04213365317546032,-10.103871576959394,-1.794145420207748,7.54716981132075
lancaster_pa,5,120,3.18018018018018,3.5595595595595597,3.5285285285285286,0.8743743743743744,0.8768768768768769,20,0.026785374607259486,-11.929493232609387,-10.953729933899911,0.8717660292463464
lancaster_pa,10,440,3.18018018018018,3.511011011011011,3.3793793793793796,0.8788788788788788,0.8873873873873874,20,0.028239331935362426,-10.40289581366069,-6.2637708530059895,3.7491090520313572
hartford_ct,0,0,3.641320660330165,3.808904452226113,3.8394197098549276,0.8904452226113057,0.8884442221110556,20,0.0065094587948086565,-4.602280533040253,-5.44030773457893,-0.8011557656947772
hartford_ct,1,8,3.641320660330165,3.664832416208104,3.6078039019509753,0.8929464732366184,0.8959479739869936,10,0.033203218258103365,-0.645693089710125,0.9204561066080553,1.5561015561015608
hartford_ct,2,24,3.641320660330165,3.6728364182091044,3.6633316658329163,0.8899449724862432,0.8904452226113057,50,0.001203189051110667,-0.8655035032284619,-0.6044786371754299,0.2587850721874177
hartford_ct,3,48,3.641320660330165,3.670335167583792,3.6323161580790395,0.8939469734867433,0.8954477238619309,20,0.013628459495096851,-0.7968127490039824,0.24728671520813372,1.0358457135068821
hartford_ct,5,120,3.641320660330165,3.7943971985992997,3.745872936468234,0.8924462231115557,0.8949474737368684,20,0.01225441716450573,-4.2038741585382615,-2.8712735265833165,1.278839815425187
hartford_ct,10,440,3.641320660330165,3.8834417208604304,3.869434717358679,0.8939469734867433,0.894447223611806,20,0.014949316286798416,-6.6492650089298015,-6.264596785272697,0.36068530207394917
everglades_fl,0,0,2.9875,3.043,3.053,0.897,0.8965,50,0.002035546176517675,-1.8577405857740696,-2.1924686192468656,-0.3286230693394606
everglades_fl,1,8,2.9875,2.835,2.8545,0.9085,0.9075,50,0.002120017898628531,5.104602510460246,4.451882845188285,-0.6878306878306826
everglades_fl,2,24,2.9875,2.794,2.8225,0.9085,0.907,50,0.0017693989578514773,6.476987447698739,5.523012552301257,-1.0200429491767984
everglades_fl,3,48,2.9875,2.745,2.7835,0.911,0.909,50,0.0028195090758693503,8.117154811715473,6.8284518828451795,-1.4025500910746804
everglades_fl,5,120,2.9875,2.708,2.9325,0.913,0.9015,20,0.016723727894845435,9.355648535564843,1.841004184100409,-8.290251107828652
everglades_fl,10,440,2.9875,2.8045,2.8055,0.908,0.9085,20,0.017560592694564503,6.1255230125522955,6.09205020920502,-0.03565697985380246
lubbock_tx,0,0,3.522761380690345,3.5947973986993498,3.7078539269634816,0.8894447223611806,0.8829414707353677,10,0.023844754014898068,-2.0448736154501623,-5.254189150809428,-3.1450041747842956
lubbock_tx,1,8,3.522761380690345,3.3836918459229617,3.467233616808404,0.8984492246123061,0.894447223611806,10,0.04954787350956031,3.9477421187162647,1.5762567452428273,-2.4689532820816007
lubbock_tx,2,24,3.522761380690345,3.5297648824412207,3.455727863931966,0.8874437218609305,0.8924462231115557,10,0.053998909595652,-0.1988071570576589,1.902868503266115,2.0975056689342426
lubbock_tx,3,48,3.522761380690345,3.494247123561781,3.4977488744372187,0.8894447223611806,0.8899449724862432,10,0.05388051320153681,0.8094291394490164,0.7100255609201869,-0.10021474588403964
lubbock_tx,5,120,3.522761380690345,3.534767383691846,3.5117558779389695,0.8884442221110556,0.8899449724862432,10,0.05490427347954524,-0.3408122692416937,0.31241124680488175,0.6510048117746935
lubbock_tx,10,440,3.522761380690345,3.546273136568284,3.5787893946973486,0.8884442221110556,0.8864432216108054,20,0.01490359021024534,-0.6674240272649815,-1.5904572564612334,-0.9169135280011292
sacramento_ca,0,0,2.571071071071071,2.6566566566566565,2.685185185185185,0.9134134134134134,0.9119119119119119,50,0.0033926675620473564,-3.328791123223663,-4.438388164298224,-1.0738507912584807
sacramento_ca,1,8,2.571071071071071,2.7287287287287287,2.7382382382382384,0.9114114114114115,0.9109109109109109,50,0.0025081011604444143,-6.131983648043603,-6.5018493284017955,-0.34849596478357203
sacramento_ca,2,24,2.571071071071071,2.605105105105105,2.58008008008008,0.9159159159159159,0.9174174174174174,10,0.03415934671531303,-1.323729803387187,-0.3503990656024881,0.9606147934678191
sacramento_ca,3,48,2.571071071071071,2.840840840840841,2.793793793793794,0.9034034034034034,0.9059059059059059,50,0.0021128501863223684,-10.49250535331906,-8.66264356628382,1.6560958421423593
sacramento_ca,5,120,2.571071071071071,2.7082082082082084,2.7462462462462462,0.9104104104104104,0.9084084084084084,50,0.004571461600804365,-5.333852443060157,-6.813315164492892,-1.4045462945850973
sacramento_ca,10,440,2.571071071071071,2.8028028028028027,2.8503503503503502,0.9054054054054054,0.9029029029029029,50,0.00303337909262386,-9.013042631886307,-10.862371033677237,-1.696428571428571
phoenix_az,0,0,3.5825,3.5025,3.4635,0.902,0.9045,50,0.0018119410655298182,2.233077459874391,3.32170272156316,1.1134903640257001
phoenix_az,1,8,3.5825,3.3845,3.402,0.9045,0.904,20,0.021585936549910745,5.526866713189113,5.038381018841588,-0.517063081695969
phoenix_az,2,24,3.5825,3.282,3.3215,0.907,0.9055,20,0.025496023103487742,8.387997208653175,7.285415212840198,-1.2035344302254682
phoenix_az,3,48,3.5825,3.3035,3.362,0.9075,0.905,20,0.02672646236682813,7.7878576413119305,6.154919748778783,-1.7708490994399877
phoenix_az,5,120,3.5825,3.3665,3.2725,0.906,0.912,20,0.02843521941711685,6.029309141660857,8.65317515701326,2.792217436506754
phoenix_az,10,440,3.5825,3.394,3.307,0.9065,0.9115,20,0.02935554595843298,5.261688764829026,7.69016050244243,2.5633470830878076
yellowstone_wy,0,0,3.5735735735735736,3.5645645645645647,3.5335335335335336,0.8853853853853854,0.8863863863863863,10,0.04971752027994472,0.2521008403361319,1.1204481792717083,0.8705419825891625
yellowstone_wy,1,8,3.5735735735735736,3.2112112112112112,3.186186186186186,0.8978978978978979,0.8993993993993994,10,0.05074447105439757,10.140056022408963,10.840336134453784,0.7793017456359099
yellowstone_wy,2,24,3.5735735735735736,3.096096096096096,3.3073073073073074,0.9009009009009009,0.8908908908908909,5,0.06630217273412355,13.361344537815127,7.450980392156862,-6.821855803427093
yellowstone_wy,3,48,3.5735735735735736,3.2237237237237237,3.1686686686686687,0.8943943943943944,0.8973973973973974,10,0.0528639256184215,9.789915966386555,11.330532212885155,1.7078093463747859
yellowstone_wy,5,120,3.5735735735735736,3.2562562562562563,3.146146146146146,0.8933933933933934,0.8993993993993994,10,0.05373562781049211,8.879551820728294,11.960784313725492,3.3814940055333524
yellowstone_wy,10,440,3.5735735735735736,3.3973973973973974,3.1281281281281283,0.8883883883883884,0.9024024024024024,20,0.037950930248823116,4.9299719887955185,12.464985994397754,7.925751325869176
seattle_wa,0,0,3.469234617308654,3.2216108054027015,3.294647323661831,0.903951975987994,0.8999499749874937,20,0.011109390984821759,7.1377072819033796,5.032444124008644,-2.2670807453416124
seattle_wa,1,8,3.469234617308654,3.3216608304152078,3.4467233616808404,0.8969484742371185,0.8904452226113057,10,0.03186904561583208,4.253785147800999,0.648882480173031,-3.765060240963849
seattle_wa,2,24,3.469234617308654,3.1615807903951976,3.2656328164082042,0.9019509754877438,0.8959479739869936,20,0.020154689429523094,8.868060562364812,5.868781542898332,-3.2911392405063347
seattle_wa,3,48,3.469234617308654,3.2051025512756377,3.1865932966483244,0.8999499749874937,0.9009504752376188,50,0.0064399138461797,7.613554434030279,8.147080028839211,0.5774933666302384
seattle_wa,5,120,3.469234617308654,3.2206103051525763,3.139069534767384,0.8999499749874937,0.9044522261130565,50,0.006888568772142619,7.166546503244407,9.516943042537843,2.531842187014597
seattle_wa,10,440,3.469234617308654,3.147073536768384,3.2376188094047023,0.9059529764882441,0.9014507253626813,20,0.01899056389377432,9.286229271809654,6.676279740447004,-2.877126053091715
