tile,feature_set,accuracy,I_raw,I_smooth,std_is,sacp_is,geocp_is,bw,std_cov,sacp_cov,geocp_cov,geocp_vs_std,geocp_vs_sacp
polk_iowa,alphaearth,0.8282120092700054,0.07785445181179255,0.37807116740746816,3.404361744697879,3.3120248099239697,3.2171868747499,300,0.9001600640256102,0.897859143657463,0.9036614645858343,5.498089920658242,2.8634427764521146
lancaster_pa,alphaearth,0.8488716763090497,0.06359345781114224,0.3759679292519514,3.1789536861058316,3.121736520956287,3.136841052315695,300,0.9083725117535261,0.9044713414024207,0.9035710713213965,1.3247325361862714,-0.48385029479621294
hartford_ct,alphaearth,0.8368226285128055,0.06842513572372436,0.37877853329658806,3.4906453226613308,3.1943971985992996,3.231615807903952,300,0.895847923961981,0.9032516258129064,0.9015507753876938,7.420677004213368,-1.1651215234277104
everglades_fl,alphaearth,0.9974682152932987,-0.0030264372270534384,0.4813550972235469,2.9493848154446334,2.919775932779834,2.995698709612884,300,0.8976693007902371,0.8991697509252776,0.8951685505651695,-1.5702899779548967,-2.600294631539287
lubbock_tx,alphaearth,0.838102971513848,0.10055972535144898,0.3990456057030408,3.3708112433730117,3.2292687806341904,3.4281284385315596,300,0.898369510853256,0.8994698409522857,0.888666599979994,-1.7003976497121571,-6.158039835207382
sacramento_ca,alphaearth,0.8330266974399866,0.08319523415983694,0.3891385234539522,3.5110533159947983,3.407622286686006,3.418925677703311,300,0.8950685205561668,0.8931679503851155,0.8929678903671101,2.6239316239316195,-0.3317090354018626
phoenix_az,alphaearth,0.8224914242201257,0.11691643669678356,0.38533023544937434,3.4856942777110844,3.3945578231292517,3.383653461384554,300,0.8939575830332133,0.8936574629851941,0.8943577430972389,2.9274172717619003,0.3212306966874896
yellowstone_wy,alphaearth,0.9342248928296633,0.04688643491607441,0.4805186482874146,3.130639191757527,3.126738021406422,3.087926377913374,1000,0.8997699309792938,0.8946684005201561,0.8967690307092128,1.3643480205770526,1.2412822317486785
seattle_wa,alphaearth,0.9198409790414773,0.028464882362856003,0.4056072936817954,3.1789536861058316,3.0734220266079824,3.080324097229169,300,0.895668700610183,0.8976693007902371,0.8974692407722317,3.102580239144111,-0.22457282343368795
mississippi_la,alphaearth,0.9903320276750741,0.0008327180301915899,0.47046832642351805,2.7955591118223646,2.8505701140228044,2.854370874174835,1000,0.9064812962592519,0.9032806561312262,0.9030806161232247,-2.103756708407869,-0.13333333333334296
