dataset,seed,alpha,method,is,cov,size,sscv_pct
botswana,3,0.15,B,3.0925061151879034,0.8325550366911274,0.8599066044029353,15.000000000000002
botswana,3,0.15,C,2.9397376028463422,0.8465643762508339,0.8939292861907938,15.000000000000002
botswana,4,0.05,D,2.885256837891928,0.9539693128752502,1.0440293529019347,5.000000000000004
botswana,4,0.05,A,2.723148765843896,0.9573048699132756,1.0153435623749165,5.000000000000004
botswana,4,0.05,B,3.0173448965977316,0.9492995330220146,0.9893262174783188,5.000000000000004
botswana,4,0.05,C,3.1627751834556372,0.9452968645763843,0.9746497665110073,5.000000000000004
botswana,4,0.1,D,2.6497665110073383,0.9166110740493663,0.9819879919946631,9.999999999999998
botswana,4,0.1,A,2.836557705136758,0.9059372915276851,0.9553035356904603,9.999999999999998
botswana,4,0.1,B,2.733822548365577,0.9106070713809206,0.9459639759839893,9.999999999999998
botswana,4,0.1,C,2.9626417611741163,0.8979319546364243,0.9212808539026017,9.999999999999998
botswana,4,0.15,D,2.718923726929064,0.8645763842561708,0.9132755170113409,12.370456303170918
botswana,4,0.15,A,2.7333778074271735,0.8632421614409607,0.9099399599733156,15.000000000000002
botswana,4,0.15,B,2.74471870135646,0.8612408272181454,0.8945963975983989,15.000000000000002
botswana,4,0.15,C,2.9891038470091176,0.8405603735823882,0.8632421614409607,15.000000000000002
botswana,5,0.05,D,3.0840560373582386,0.9486324216144096,1.029352901934623,5.000000000000004
botswana,5,0.05,A,2.4069379586390927,0.9653102068045364,1.019346230820547,5.000000000000004
botswana,5,0.05,B,2.617745163442295,0.9593062041360907,0.989993328885924,5.000000000000004
botswana,5,0.05,C,2.52501667778519,0.961974649766511,1.0040026684456305,5.000000000000004
botswana,5,0.1,D,2.771847898599066,0.9099399599733156,0.970647098065377,9.999999999999998
botswana,5,0.1,A,2.47631754503002,0.9246164109406271,0.9686457638425617,9.999999999999998
botswana,5,0.1,B,2.725150100066711,0.9106070713809206,0.9372915276851234,9.999999999999998
