experiment,alpha,comparison,mean_pct,sem_val,t,p,n
HSI,0.05,C vs A,13.94899405021146,1.4011023867805223,9.955727848172256,2.3321532463886025e-13,50
HSI,0.1,C vs A,7.874481726685642,0.9396695689215274,8.380053996771759,5.0417588549848255e-11,50
HSI,0.15,C vs A,3.7883817189242333,0.5738064987653111,6.602193818083078,2.7428835263570492e-08,50
S2,0.05,C vs A,2.563433977928979,0.7719049324074531,3.3209192872158773,0.0025028526497425977,29
S2,0.1,C vs A,2.0949512981962815,0.4386301972788854,4.776121915893289,5.11475126508782e-05,29
S2,0.15,C vs A,2.5968144983520585,0.4306070509328876,6.030589821337566,1.68555452280612e-06,29
GRAND,0.05,C vs A,9.769484656588778,1.115868249749037,8.755052093995838,3.2247431260328237e-13,79
GRAND,0.1,C vs A,5.752881949138915,0.6898692827012197,8.339089873103498,2.0706335900822116e-12,79
GRAND,0.15,C vs A,3.350970967068625,0.39946720457627816,8.38860093814975,1.659601625267352e-12,79
