experiment,config_id,alpha,method,best_bw,is,cov,size,sscv_pct,dataset,seed,tile,size_px
S2,polk_iowa_s500,0.1,E,100,3.5684850667146772,0.8934165516413611,1.4368160995418993,9.999999999999998,,,polk_iowa,500.0
S2,polk_iowa_s500,0.15,E,100,3.394473450825849,0.8400448098581688,1.261737582268099,12.549407114624511,,,polk_iowa,500.0
S2,sacramento_ca_s100,0.05,E,100,2.946946946946947,0.9504504504504504,0.964964964964965,5.000000000000004,,,sacramento_ca,100.0
S2,sacramento_ca_s100,0.1,E,100,2.685185185185185,0.9119119119119119,0.9234234234234234,9.999999999999998,,,sacramento_ca,100.0
S2,sacramento_ca_s100,0.15,E,100,2.7872872872872874,0.8558558558558559,0.8653653653653653,15.000000000000002,,,sacramento_ca,100.0
S2,sacramento_ca_s200,0.05,E,50,3.1737606409614423,0.9446670005007511,0.9604406609914873,5.000000000000004,,,sacramento_ca,200.0
S2,sacramento_ca_s200,0.1,E,50,2.96907861792689,0.8970956434651978,0.9109914872308462,9.999999999999998,,,sacramento_ca,200.0
S2,sacramento_ca_s200,0.15,E,50,2.9840594224670345,0.8401352028042063,0.8525287931897847,14.037322274881515,,,sacramento_ca,200.0
S2,sacramento_ca_s500,0.05,E,100,3.07762,0.9494,1.05362,5.000000000000004,,,sacramento_ca,500.0
S2,sacramento_ca_s500,0.1,E,100,2.9652,0.90028,0.9708,9.999999999999998,,,sacramento_ca,500.0
S2,sacramento_ca_s500,0.15,E,100,2.9268666666666667,0.84812,0.9018,13.975845410628018,,,sacramento_ca,500.0
S2,seattle_wa_s100,0.05,E,7,3.43871935967984,0.950975487743872,1.4777388694347173,5.000000000000004,,,seattle_wa,100.0
