backbone,dataset,seed,alpha,method,is,cov,size,sscv_pct,accuracy,r_C,bw_C
SSFormer,botswana,0,0.05,D,3.0620413609072714,0.9506337558372249,1.0873915943962642,5.000000000000004,0.9799866577718479,10,50
SSFormer,botswana,0,0.05,A,3.3015343562374917,0.9419613075383589,0.9799866577718479,5.000000000000004,0.9799866577718479,10,50
SSFormer,botswana,0,0.05,B,3.1861240827218147,0.9446297531687792,0.971314209472982,5.000000000000004,0.9799866577718479,10,50
SSFormer,botswana,0,0.05,C,2.7945296864576386,0.9546364242828552,0.9799866577718479,5.000000000000004,0.9799866577718479,10,50
SSFormer,botswana,0,0.1,D,2.878585723815877,0.9052701801200801,0.9839893262174784,9.999999999999998,0.9799866577718479,10,50
SSFormer,botswana,0,0.1,A,3.113408939292862,0.8905937291527685,0.9252835223482322,90.0,0.9799866577718479,10,50
SSFormer,botswana,0,0.1,B,2.9266177451634423,0.8999332888592395,0.9252835223482322,9.999999999999998,0.9799866577718479,10,50
SSFormer,botswana,0,0.1,C,2.8072048032021346,0.9059372915276851,0.9259506337558372,9.999999999999998,0.9799866577718479,10,50
SSFormer,botswana,0,0.15,D,2.9546364242828553,0.8458972648432288,0.8999332888592395,15.000000000000002,0.9799866577718479,10,50
SSFormer,botswana,0,0.15,A,3.1156326439848794,0.8312208138759173,0.8652434956637759,85.0,0.9799866577718479,10,50
SSFormer,botswana,0,0.15,B,2.881476539915499,0.8492328218812542,0.8712474983322215,15.000000000000002,0.9799866577718479,10,50
SSFormer,botswana,0,0.15,C,2.736268623526796,0.8605737158105403,0.8772515010006671,15.000000000000002,0.9799866577718479,10,50
SSFormer,botswana,1,0.05,D,2.7545030020013344,0.9606404269513009,1.1801200800533689,9.285714285714286,0.9686457638425617,10,100
SSFormer,botswana,1,0.05,A,2.57104736490994,0.961974649766511,1.0500333555703802,5.000000000000004,0.9686457638425617,10,100
SSFormer,botswana,1,0.05,B,3.04736490993996,0.9486324216144096,0.9926617745163442,5.000000000000004,0.9686457638425617,10,100
SSFormer,botswana,1,0.05,C,2.9299533022014677,0.9513008672448299,0.9819879919946631,5.000000000000004,0.9686457638425617,10,100
SSFormer,botswana,1,0.1,D,3.1674449633088724,0.8919279519679787,1.0060040026684456,9.999999999999998,0.9686457638425617,10,100
SSFormer,botswana,1,0.1,A,3.040693795863909,0.8965977318212142,0.9726484322881921,9.999999999999998,0.9686457638425617,10,100
SSFormer,botswana,1,0.1,B,3.191460973982655,0.8865910607071381,0.923282188125417,9.999999999999998,0.9686457638425617,10,100
SSFormer,botswana,1,0.1,C,2.9786524349566377,0.8972648432288192,0.923949299533022,9.999999999999998,0.9686457638425617,10,100
SSFormer,botswana,1,0.15,D,2.9937736268623527,0.8445630420280187,0.9212808539026017,85.0,0.9686457638425617,10,100
SSFormer,botswana,1,0.15,A,2.889037135868357,0.8525683789192795,0.923282188125417,15.000000000000002,0.9686457638425617,10,100
SSFormer,botswana,1,0.15,B,3.023126528796976,0.8385590393595731,0.8705803869246164,15.000000000000002,0.9686457638425617,10,100
SSFormer,botswana,1,0.15,C,3.0295752724038247,0.8372248165443629,0.8592394929953302,15.000000000000002,0.9686457638425617,10,100
SSFormer,botswana,2,0.05,D,2.9746497665110074,0.9533022014676451,1.1067378252168112,5.000000000000004,0.9786524349566378,10,100
SSFormer,botswana,2,0.05,A,2.4796531020680455,0.9639759839893263,1.038692461641094,5.000000000000004,0.9786524349566378,10,100
SSFormer,botswana,2,0.05,B,2.5670446964643094,0.9606404269513009,0.9926617745163442,5.000000000000004,0.9786524349566378,10,100
SSFormer,botswana,2,0.05,C,2.5296864576384257,0.9613075383589059,0.9819879919946631,5.000000000000004,0.9786524349566378,10,100
SSFormer,botswana,2,0.1,D,2.8492328218812544,0.9066044029352902,0.981320880587058,9.999999999999998,0.9786524349566378,10,100
SSFormer,botswana,2,0.1,A,2.7558372248165446,0.9112741827885257,0.981320880587058,9.999999999999998,0.9786524349566378,10,100
SSFormer,botswana,2,0.1,B,2.677118078719146,0.9132755170113409,0.9426284189459639,9.999999999999998,0.9786524349566378,10,100
SSFormer,botswana,2,0.1,C,2.71714476317545,0.9106070713809206,0.9292861907938625,9.999999999999998,0.9786524349566378,10,100
SSFormer,botswana,2,0.15,D,2.794307315988437,0.8585723815877252,0.9086057371581054,15.000000000000002,0.9786524349566378,10,100
SSFormer,botswana,2,0.15,A,2.745163442294863,0.8639092728485657,0.9306204136090727,15.000000000000002,0.9786524349566378,10,100
SSFormer,botswana,2,0.15,B,2.7633978207694017,0.8592394929953302,0.8865910607071381,15.000000000000002,0.9786524349566378,10,100
SSFormer,botswana,2,0.15,C,2.6382032466088505,0.8685790527018012,0.885923949299533,15.000000000000002,0.9786524349566378,10,100
SSFormer,botswana,3,0.05,D,3.454302868579053,0.9399599733155437,1.0527018012008005,32.49999999999999,0.9766511007338226,5,100
SSFormer,botswana,3,0.05,A,3.228152101400934,0.9439626417611742,0.9866577718478986,5.000000000000004,0.9766511007338226,5,100
SSFormer,botswana,3,0.05,B,3.28685790527018,0.9419613075383589,0.9653102068045364,5.000000000000004,0.9766511007338226,5,100
SSFormer,botswana,3,0.05,C,3.3388925950633754,0.9406270847231488,0.9639759839893263,5.000000000000004,0.9766511007338226,5,100
SSFormer,botswana,3,0.1,D,3.4696464309539694,0.8732488325550367,0.9346230820547031,23.33333333333334,0.9766511007338226,5,100
SSFormer,botswana,3,0.1,A,2.9873248832555035,0.8972648432288192,0.9326217478318879,9.999999999999998,0.9766511007338226,5,100
SSFormer,botswana,3,0.1,B,3.0627084723148768,0.8925950633755837,0.914609739826551,9.999999999999998,0.9766511007338226,5,100
SSFormer,botswana,3,0.1,C,3.0500333555703802,0.8932621747831888,0.9152768512341561,9.999999999999998,0.9766511007338226,5,100
SSFormer,botswana,3,0.15,D,3.2441627751834554,0.8218812541694464,0.8692461641094062,15.000000000000002,0.9766511007338226,5,100
SSFormer,botswana,3,0.15,A,2.9908828107627303,0.8412274849899933,0.8739159439626417,15.000000000000002,0.9766511007338226,5,100
SSFormer,botswana,3,0.15,B,3.0858350011118527,0.8325550366911274,0.8532354903268846,15.000000000000002,0.9766511007338226,5,100
SSFormer,botswana,3,0.15,C,3.0851678897042474,0.8325550366911274,0.8525683789192795,15.000000000000002,0.9766511007338226,5,100
SSFormer,botswana,4,0.05,D,3.0346897931954637,0.951967978652435,1.1134089392928619,14.999999999999991,0.981320880587058,10,100
SSFormer,botswana,4,0.05,A,3.04603068712475,0.9486324216144096,0.9913275517011341,5.000000000000004,0.981320880587058,10,100
SSFormer,botswana,4,0.05,B,3.1120747164776517,0.9466310873915944,0.9773182121414277,5.000000000000004,0.981320880587058,10,100
SSFormer,botswana,4,0.05,C,3.124082721814543,0.9459639759839893,0.962641761174116,5.000000000000004,0.981320880587058,10,100
SSFormer,botswana,4,0.1,D,2.781187458305537,0.9106070713809206,0.9933288859239493,15.000000000000002,0.981320880587058,10,100
SSFormer,botswana,4,0.1,A,2.941294196130754,0.8999332888592395,0.9399599733155437,9.999999999999998,0.981320880587058,10,100
SSFormer,botswana,4,0.1,B,2.9933288859239493,0.8965977318212142,0.9252835223482322,9.999999999999998,0.981320880587058,10,100
SSFormer,botswana,4,0.1,C,3.1954636424282854,0.885256837891928,0.9006004002668445,9.999999999999998,0.981320880587058,10,100
