method,mean_sscv,median_sscv,std,n
D,12.596550835979617,9.999999999999998,14.225785749526151,50
A,12.17550418030115,9.999999999999998,11.964344417151935,50
B,11.81803950577086,9.999999999999998,7.746153409599113,50
C,14.296564280284521,9.999999999999998,15.772176906031516,50
