tile,size_km,size_px,alpha,method,is,cov,size,sscv_pct,accuracy
everglades_fl,1.0,100,0.05,D,3.26,0.945,1.06,3.8826815642458157,0.9485
everglades_fl,1.0,100,0.05,A,3.04,0.9505,1.06,5.000000000000004,0.9485
everglades_fl,1.0,100,0.05,B,2.801,0.9555,1.021,1.610169491525426,0.9485
everglades_fl,1.0,100,0.05,C,2.9465,0.9525,1.0465,3.2758620689655182,0.9485
everglades_fl,1.0,100,0.1,D,3.043,0.897,0.983,8.979591836734691,0.9485
everglades_fl,1.0,100,0.1,A,2.835,0.9085,1.005,9.999999999999998,0.9485
everglades_fl,1.0,100,0.1,B,2.745,0.911,0.965,9.999999999999998,0.9485
everglades_fl,1.0,100,0.1,C,2.8055,0.9085,0.9755,8.18181818181818,0.9485
everglades_fl,1.0,100,0.15,D,2.995166666666667,0.8435,0.9085,13.148148148148152,0.9485
everglades_fl,1.0,100,0.15,A,3.0325,0.8425,0.9325,15.000000000000002,0.9485
everglades_fl,1.0,100,0.15,B,2.755666666666667,0.8615,0.909,15.000000000000002,0.9485
everglades_fl,1.0,100,0.15,C,2.8670000000000004,0.853,0.907,11.428571428571432,0.9485
everglades_fl,2.0,200,0.05,D,3.278368572500938,0.9447016139121731,1.0664331289878644,5.000000000000004,0.9577129988740147
everglades_fl,2.0,200,0.05,A,3.147378956587014,0.9477042412110597,1.0555486050294007,5.000000000000004,0.9577129988740147
everglades_fl,2.0,200,0.05,B,3.0355310897034906,0.949080445389716,0.9987489052921306,2.619047619047621,0.9577129988740147
everglades_fl,2.0,200,0.05,C,3.075566120355311,0.9480795696234205,0.9987489052921306,2.777777777777779,0.9577129988740147
everglades_fl,2.0,200,0.1,D,3.089578381083448,0.89415738771425,0.9727261353684474,9.999999999999998,0.9577129988740147
everglades_fl,2.0,200,0.1,A,3.0294007256349307,0.8984111097210059,0.9976229200550482,9.999999999999998,0.9577129988740147
everglades_fl,2.0,200,0.1,B,3.03678218441136,0.8951582634805455,0.9399474540222695,8.630136986301363,0.9577129988740147
everglades_fl,2.0,200,0.1,C,3.0559239334417616,0.89415738771425,0.9390716877267609,8.64864864864865,0.9577129988740147
everglades_fl,2.0,200,0.15,D,2.980608032028025,0.8442387088702615,0.9037908169648442,15.000000000000002,0.9577129988740147
everglades_fl,2.0,200,0.15,A,3.0616789690979607,0.8404854247466533,0.934817965720005,15.000000000000002,0.9577129988740147
everglades_fl,2.0,200,0.15,B,2.9393219066683347,0.8461153509320656,0.8875265857625422,12.67441860465116,0.9577129988740147
everglades_fl,2.0,200,0.15,C,2.9443262854998125,0.8457400225197047,0.8875265857625422,12.727272727272732,0.9577129988740147
everglades_fl,5.0,500,0.05,D,3.15744,0.94934,1.13104,5.000000000000004,0.95002
everglades_fl,5.0,500,0.05,A,3.07674,0.9509,1.11274,5.000000000000004,0.95002
everglades_fl,5.0,500,0.05,B,3.02828,0.9495,1.00828,5.000000000000004,0.95002
everglades_fl,5.0,500,0.05,C,2.90696,0.95366,1.05336,5.000000000000004,0.95002
everglades_fl,5.0,500,0.1,D,3.01352,0.89986,1.01072,8.163428267234496,0.95002
everglades_fl,5.0,500,0.1,A,3.06566,0.89908,1.04726,9.999999999999998,0.95002
everglades_fl,5.0,500,0.1,B,2.97406,0.89894,0.95286,9.999999999999998,0.95002
everglades_fl,5.0,500,0.1,C,2.93556,0.90142,0.96396,9.999999999999998,0.95002
everglades_fl,5.0,500,0.15,D,2.955026666666667,0.84794,0.92756,15.000000000000002,0.95002
everglades_fl,5.0,500,0.15,A,3.0325400000000005,0.84682,0.99014,15.000000000000002,0.95002
everglades_fl,5.0,500,0.15,B,2.94052,0.84676,0.89732,15.000000000000002,0.95002
everglades_fl,5.0,500,0.15,C,2.921226666666667,0.8486,0.90256,15.000000000000002,0.95002
hartford_ct,1.0,100,0.05,D,4.125562781390696,0.9459729864932466,1.9644822411205602,5.000000000000004,0.7618809404702351
hartford_ct,1.0,100,0.05,A,4.110555277638819,0.9424712356178089,1.8094047023511757,5.000000000000004,0.7618809404702351
hartford_ct,1.0,100,0.05,B,3.8269134567283642,0.950975487743872,1.8659329664832416,5.000000000000004,0.7618809404702351
hartford_ct,1.0,100,0.05,C,3.896448224112056,0.9489744872436218,1.8554277138569284,5.000000000000004,0.7618809404702351
hartford_ct,1.0,100,0.1,D,3.808904452226113,0.8904452226113057,1.6178089044522261,9.999999999999998,0.7618809404702351
hartford_ct,1.0,100,0.1,A,3.664832416208104,0.8929464732366184,1.5237618809404703,9.999999999999998,0.7618809404702351
hartford_ct,1.0,100,0.1,B,3.6728364182091044,0.8899449724862432,1.471735867933967,9.999999999999998,0.7618809404702351
hartford_ct,1.0,100,0.1,C,3.6633316658329163,0.8904452226113057,1.4722361180590295,9.999999999999998,0.7618809404702351
hartford_ct,1.0,100,0.15,D,3.5497748874437223,0.8394197098549274,1.408704352176088,15.000000000000002,0.7618809404702351
hartford_ct,1.0,100,0.15,A,3.356011339002835,0.8504252126063031,1.36168084042021,15.000000000000002,0.7618809404702351
hartford_ct,1.0,100,0.15,B,3.3269968317492085,0.8459229614807404,1.2726363181590796,11.969696969696974,0.7618809404702351
hartford_ct,1.0,100,0.15,C,3.312656328164082,0.8469234617308654,1.2716358179089544,15.000000000000002,0.7618809404702351
hartford_ct,2.0,200,0.05,D,4.038625532982192,0.9474542262352647,1.9367945823927766,5.000000000000004,0.7768999247554552
hartford_ct,2.0,200,0.05,A,3.839729119638826,0.9492099322799097,1.8081264108352144,5.000000000000004,0.7768999247554552
hartford_ct,2.0,200,0.05,B,3.794582392776524,0.9503386004514672,1.8081264108352144,5.000000000000004,0.7768999247554552
hartford_ct,2.0,200,0.05,C,3.7692500627037875,0.9509656383245548,1.8078755956859793,5.000000000000004,0.7768999247554552
hartford_ct,2.0,200,0.1,D,3.7225984449460747,0.8932781540005016,1.5881615249561074,9.999999999999998,0.7768999247554552
hartford_ct,2.0,200,0.1,A,3.4232505643340856,0.9043140205668423,1.5095309756709305,9.999999999999998,0.7768999247554552
hartford_ct,2.0,200,0.1,B,3.445573112616002,0.899799347880612,1.4415600702282418,9.999999999999998,0.7768999247554552
hartford_ct,2.0,200,0.1,C,3.41397040381239,0.9026837220968147,1.4676448457486833,9.999999999999998,0.7768999247554552
hartford_ct,2.0,200,0.15,D,3.4502549954017225,0.845623275645849,1.391898670679709,15.000000000000002,0.7768999247554552
hartford_ct,2.0,200,0.15,A,3.3121394532229753,0.8487584650112867,1.2955856533734638,15.000000000000002,0.7768999247554552
hartford_ct,2.0,200,0.15,B,3.2718418192458825,0.8477552044143466,1.2419112114371709,9.936708860759492,0.7768999247554552
hartford_ct,2.0,200,0.15,C,3.2423710392107683,0.8511412089290193,1.2575871582643592,9.318181818181825,0.7768999247554552
hartford_ct,5.0,500,0.05,D,3.9025151569722074,0.9520779558596955,1.9856333913600257,5.000000000000004,0.7816595633991636
hartford_ct,5.0,500,0.05,A,3.807831602537167,0.9510374772395301,1.8493306921183745,5.000000000000004,0.7816595633991636
hartford_ct,5.0,500,0.05,B,3.7920043219881143,0.950717329971787,1.8206975208595955,5.000000000000004,0.7816595633991636
hartford_ct,5.0,500,0.05,C,3.715409088180563,0.9531384436840947,1.8409468355443503,5.000000000000004,0.7816595633991636
hartford_ct,5.0,500,0.1,D,3.6318906697080657,0.9004742181403446,1.641375032514957,9.999999999999998,0.7816595633991636
hartford_ct,5.0,500,0.1,A,3.528483102227024,0.8998939512175601,1.526362126578226,9.999999999999998,0.7816595633991636
hartford_ct,5.0,500,0.1,B,3.4711167136882968,0.8994937671328811,1.460992056345919,8.692810457516343,0.7816595633991636
hartford_ct,5.0,500,0.1,C,3.4482862116573623,0.9021950097044641,1.4921864057466434,9.156118143459913,0.7816595633991636
hartford_ct,5.0,500,0.15,D,3.425735838485704,0.8504712167597095,1.4320187286151629,13.461538461538469,0.7816595633991636
hartford_ct,5.0,500,0.15,A,3.3306520999659845,0.8502911339216039,1.3345338855873703,15.000000000000002,0.7816595633991636
hartford_ct,5.0,500,0.15,B,3.2484276100339486,0.8503711707385397,1.2533765532144787,15.000000000000002,0.7816595633991636
hartford_ct,5.0,500,0.15,C,3.261133454722507,0.8514516677671728,1.2804890249514778,15.000000000000002,0.7816595633991636
